Command line: -a ./ddata/dgrp2_downsampled_sfss_150.txt -f foldit -i 3 -n 150 -o dgrp2_n150_min5.out -x
Arguments:
	sfsfilename: ./ddata/dgrp2_downsampled_sfss_150.txt
	bothdirections: False
	foldstatus: foldit
	optimizetries: 3
	includemisspec: False
	nc: 150
	outfilename: CodonPairResults_dgrp2_n150_min5.out
	seed: 1
	limitSFSrange: True
	commandstring: -a ./ddata/dgrp2_downsampled_sfss_150.txt -f foldit -i 3 -n 150 -o dgrp2_n150_min5.out -x
	thetaNest_for_thetaNspace: False

	For each codon pair, 2Ns was estimated only in the direction in which the SFS with the highest count in the denominator
		The SFS for the direction shown under 'Codon_pair' is in the numerator of the ratio
		(e.g. CCT>CCC  means that the CCT to CCC SFS is in the numerator and CCC to CCT SFS is in the denominator)
		'maxbin' is the index of the highest frequency bin used, based on having a running mean count over 10 bins over 10
		'RMSE' is the root mean square error,  i.e. the square root of the sum of squared differences between observed and expected ratios
		'invRMSE' is the root mean square error for the inverses of the observed and expected ratios, to compare with RMSE

Codon_pair	AA	maxbin	Lklhd	RMSE	invRMSE	ThetaRatio	2Ns
CCT>CCC	P	75	793.529	5.2171	0.0416	0.182	0.129
CCA>CCT	P	39	266.637	0.3584	0.3964	1.234	-0.542
CCT>CCG	P	69	566.189	3.6869	0.1888	0.225	0.646
CCA>CCC	P	75	747.073	4.3385	0.0506	0.218	-0.155
CCG>CCC	P	75	633.452	1.5280	0.1061	0.451	0.087
CCA>CCG	P	75	772.572	2.4958	0.0570	0.358	-0.167
ACT>ACC	T	75	818.011	6.2304	0.0317	0.159	0.064
ACA>ACT	T	75	595.298	0.7875	0.1669	0.717	-0.209
ACT>ACG	T	75	640.450	3.0270	0.1026	0.312	0.147
ACA>ACC	T	75	766.630	7.3310	0.0495	0.124	0.353
ACG>ACC	T	75	632.110	1.3742	0.1399	0.550	-0.291
ACA>ACG	T	75	761.146	3.5537	0.0537	0.270	-0.161
GCT>GCC	A	75	862.831	6.5300	0.0320	0.147	0.172
GCA>GCT	A	75	575.147	0.5154	0.2396	0.814	-0.178
GCT>GCG	A	75	636.202	2.8387	0.1155	0.305	0.177
GCA>GCC	A	75	785.390	6.6822	0.0491	0.143	0.240
GCG>GCC	A	75	670.885	2.3019	0.0802	0.372	-0.044
GCA>GCG	A	75	747.824	3.2407	0.0585	0.281	0.047
TAT>TAC	Y	75	821.099	3.8170	0.0582	0.252	-0.310
CAT>CAC	H	75	801.845	3.8662	0.0460	0.246	-0.166
CAA>CAG	Q	75	902.367	7.8610	0.0236	0.124	0.152
AAT>AAC	N	75	840.143	2.9988	0.0656	0.307	-0.250
AAA>AAG	K	75	899.361	5.2391	0.0176	0.185	0.014
GAT>GAC	D	75	817.322	1.8479	0.1053	0.460	-0.315
GAA>GAG	E	75	907.965	6.4532	0.0259	0.148	0.119
TGT>TGC	C	75	772.134	3.6579	0.0474	0.252	0.042
CGT>CGC	R	75	768.658	3.1953	0.0724	0.288	-0.218
CGT>CGA	R	59	416.504	0.2759	0.4794	1.135	-0.752
CGT>CGG	R	75	639.910	3.6377	0.0921	0.257	-0.184
CGA>CGC	R	75	707.459	5.8692	0.0594	0.159	0.123
CGG>CGC	R	75	559.858	1.0653	0.2513	0.643	0.156
CGA>CGG	R	75	723.516	3.1788	0.0740	0.285	-0.172
AGA>CGA	R	58	455.417	3.2554	0.1983	0.250	0.697
AGA>AGG	R	75	738.727	3.6300	0.0647	0.262	-0.259
AGG>CGG	R	52	394.925	1.7008	0.2861	0.391	0.753
GGT>GGC	G	75	805.161	3.5151	0.0487	0.262	0.089
GGT>GGA	G	75	651.282	1.4874	0.1544	0.545	-0.399
GGT>GGG	G	34	244.166	0.7794	0.1759	0.751	-0.408
GGA>GGC	G	75	718.314	3.8251	0.0972	0.234	0.386
GGG>GGC	G	75	610.503	3.1039	0.1519	0.287	0.226
GGG>GGA	G	75	603.575	0.2976	0.4051	0.730	0.555

Time taken: 0 hours, 41 minutes, 1.01 seconds
